Observer;Item1;Item2;Item3;Winner;Middle;Loser;Village;Age;Questions
A181;VarC;VarG;VarD;3;2;1;B;37;Question2
A182;VarC;VarD;VarH;2;1;3;B;32;Question2
A183;VarH;VarG;VarA;3;1;2;B;34;Question2
A184;VarD;VarC;VarE;3;1;2;B;33;Question2
A185;VarH;VarA;VarG;2;1;3;B;40;Question2
A186;VarH;VarA;VarC;2;1;3;B;36;Question2
A187;VarE;VarC;VarF;3;1;2;B;37;Question2
A188;VarE;VarF;VarA;1;2;3;B;42;Question2
A189;VarE;VarH;VarB;3;1;2;B;33;Question2
A190;VarH;VarB;VarE;3;2;1;B;44;Question2
A191;VarF;VarA;VarC;1;2;3;B;39;Question2
A192;VarD;VarA;VarB;1;3;2;B;39;Question2
A193;VarF;VarC;VarG;1;2;3;B;22;Question2
A194;VarD;VarH;VarC;1;2;3;B;35;Question2
A195;VarE;VarB;VarG;2;1;3;B;29;Question2
A196;VarH;VarC;VarF;3;1;2;B;38;Question2
A197;VarE;VarF;VarD;3;2;1;B;35;Question2
A198;VarG;VarB;VarC;2;3;1;B;32;Question2
A199;VarG;VarD;VarA;3;2;1;B;40;Question2
A200;VarF;VarB;VarA;1;2;3;B;33;Question2
A201;VarH;VarB;VarF;3;2;1;B;34;Question2
A202;VarC;VarE;VarB;2;3;1;B;41;Question2
A203;VarC;VarE;VarD;3;2;1;B;37;Question2
A204;VarH;VarF;VarG;2;1;3;B;34;Question2
A205;VarG;VarC;VarE;3;1;2;B;41;Question2
A206;VarB;VarD;VarH;1;2;3;B;32;Question2
A207;VarA;VarB;VarG;2;1;3;B;34;Question2
A208;VarD;VarG;VarF;3;1;2;B;43;Question2
A209;VarA;VarF;VarE;1;3;2;B;28;Question2
A210;VarB;VarG;VarA;3;1;2;B;40;Question2
A211;VarC;VarG;VarB;3;1;2;B;23;Question2
A212;VarD;VarF;VarC;1;2;3;B;43;Question2
A213;VarE;VarF;VarH;2;1;3;B;31;Question2
A214;VarF;VarE;VarA;1;2;3;B;41;Question2
A215;VarG;VarE;VarC;2;1;3;B;44;Question2
A216;VarA;VarE;VarB;1;2;3;B;41;Question2
A217;VarF;VarG;VarA;1;3;2;B;41;Question2
A218;VarA;VarC;VarH;1;3;2;B;31;Question2
A219;VarB;VarG;VarD;3;1;2;B;44;Question2
A220;VarE;VarD;VarB;3;2;1;B;32;Question2
A221;VarA;VarB;VarC;1;2;3;B;42;Question2
A222;VarF;VarG;VarC;1;2;3;B;56;Question2
A223;VarG;VarF;VarB;3;2;1;B;33;Question2
A224;VarE;VarB;VarH;2;1;3;B;34;Question2
A225;VarH;VarD;VarE;2;3;1;B;27;Question2
A226;VarD;VarB;VarC;1;2;3;B;42;Question2
A227;VarA;VarD;VarC;2;1;3;B;33;Question2
A228;VarH;VarF;VarD;2;3;1;B;27;Question2
A229;VarF;VarG;VarH;1;3;2;B;22;Question2
A230;VarF;VarC;VarB;1;3;2;B;42;Question2
A231;VarC;VarG;VarD;3;2;1;B;38;Question2
A232;VarF;VarB;VarC;2;1;3;B;32;Question2
A233;VarD;VarA;VarH;2;1;3;B;33;Question2
A234;VarG;VarH;VarC;2;3;1;B;31;Question2
A235;VarG;VarC;VarA;3;1;2;B;40;Question2
A236;VarB;VarF;VarH;2;1;3;B;43;Question2
A237;VarA;VarD;VarC;2;1;3;B;49;Question2
A238;VarH;VarC;VarG;1;3;2;B;37;Question2
A239;VarF;VarC;VarH;1;3;2;B;38;Question2
A240;VarF;VarD;VarG;1;2;3;B;37;Question2
A241;VarE;VarH;VarG;1;2;3;B;35;Question2
A242;VarG;VarF;VarD;2;3;1;B;27;Question2
A243;VarF;VarH;VarD;1;3;2;B;34;Question2
A244;VarE;VarA;VarD;2;3;1;B;32;Question2
A245;VarB;VarA;VarF;3;2;1;B;32;Question2
A246;VarF;VarB;VarD;1;2;3;B;37;Question2
A247;VarG;VarC;VarB;3;1;2;B;34;Question2
A248;VarB;VarH;VarA;1;3;2;B;40;Question2
A249;VarD;VarF;VarE;1;2;3;B;37;Question2
A250;VarG;VarH;VarE;3;2;1;B;30;Question2
A251;VarD;VarB;VarE;2;3;1;B;31;Question2
A252;VarF;VarA;VarB;3;1;2;B;36;Question2
A253;VarF;VarH;VarE;1;2;3;B;29;Question2
A254;VarD;VarE;VarF;3;1;2;B;31;Question2
A255;VarA;VarB;VarE;2;3;1;B;36;Question2
A256;VarC;VarD;VarE;3;2;1;B;33;Question2
A257;VarF;VarH;VarB;1;3;2;B;32;Question2
A258;VarH;VarD;VarA;2;3;1;B;42;Question2
A259;VarB;VarE;VarG;2;1;3;B;48;Question2
A260;VarB;VarE;VarD;1;2;3;B;23;Question2
A261;VarD;VarB;VarE;1;3;2;B;42;Question2
A262;VarG;VarC;VarD;3;2;1;B;29;Question2
A263;VarA;VarF;VarD;2;1;3;B;22;Question2
A264;VarB;VarA;VarG;2;1;3;B;35;Question2
A265;VarA;VarE;VarH;1;2;3;B;43;Question2
A266;VarD;VarF;VarA;2;3;1;B;31;Question2
A267;VarD;VarC;VarE;1;3;2;B;40;Question2
A268;VarH;VarA;VarE;3;1;2;B;45;Question2
A269;VarD;VarB;VarF;3;2;1;B;44;Question2
A270;VarF;VarG;VarC;1;3;2;B;23;Question2
A271;VarG;VarF;VarE;2;3;1;B;25;Question2
A272;VarA;VarD;VarG;1;2;3;B;38;Question2
A273;VarG;VarH;VarA;3;2;1;B;31;Question2
A274;VarB;VarA;VarF;3;2;1;B;35;Question2
A275;VarD;VarF;VarB;2;3;1;B;35;Question2
A276;VarD;VarH;VarF;1;3;2;B;33;Question2
A277;VarE;VarA;VarG;1;2;3;B;41;Question2
A278;VarA;VarE;VarB;1;3;2;B;28;Question2
A279;VarD;VarH;VarE;3;1;2;B;24;Question2
A280;VarH;VarG;VarB;3;1;2;B;31;Question2
A281;VarG;VarC;VarB;3;1;2;B;36;Question2
A282;VarG;VarE;VarA;3;2;1;B;42;Question2
A283;VarC;VarH;VarB;3;2;1;B;29;Question2
A284;VarF;VarH;VarD;1;3;2;B;41;Question2
A285;VarG;VarC;VarH;3;2;1;B;26;Question2
A286;VarF;VarE;VarB;3;1;2;B;34;Question2
A287;VarE;VarH;VarA;3;1;2;B;32;Question2
A288;VarH;VarE;VarF;3;1;2;B;38;Question2
A289;VarF;VarE;VarD;3;1;2;B;27;Question2
A290;VarG;VarC;VarE;3;1;2;B;39;Question2
A291;VarB;VarE;VarF;3;1;2;B;36;Question2
A292;VarG;VarH;VarB;3;2;1;B;41;Question2
A293;VarA;VarE;VarC;1;2;3;B;27;Question2
A294;VarA;VarF;VarH;1;2;3;B;27;Question2
A295;VarA;VarF;VarC;1;2;3;B;33;Question2
A296;VarD;VarA;VarH;1;2;3;B;33;Question2
A297;VarB;VarE;VarF;3;1;2;B;37;Question2
A298;VarB;VarA;VarH;2;1;3;B;43;Question2
A299;VarB;VarA;VarG;1;2;3;B;39;Question2
A300;VarE;VarF;VarC;2;1;3;B;44;Question2
